District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Hyderabad,Amberpet,01-Feb-23,0,21.5,29.7,42.2,78.6,0,2
Hyderabad,Amberpet,02-Feb-23,0,19.9,30.4,37,73.6,0,1.9
Hyderabad,Amberpet,03-Feb-23,0,18.5,30.1,27.8,55.1,0,2
Hyderabad,Amberpet,04-Feb-23,0,19.1,31.4,15.6,60.3,0,2.1
Hyderabad,Amberpet,05-Feb-23,0,20.1,31.9,24.2,58.1,0,2.1
Hyderabad,Amberpet,06-Feb-23,0,19.8,32.7,22,68.7,0,1.9
Hyderabad,Amberpet,07-Feb-23,0,21.2,31.8,29.1,79.9,0,2
Hyderabad,Amberpet,08-Feb-23,0,21.7,32.6,31.5,84.5,0,2
Hyderabad,Amberpet,09-Feb-23,0,22.1,33,29.7,73.7,0,1.7
Hyderabad,Amberpet,10-Feb-23,0,20.3,32.8,23.3,75.3,0,1.8
Hyderabad,Amberpet,11-Feb-23,0,21,32.9,14.9,61.2,0,1.7
Hyderabad,Amberpet,12-Feb-23,0,22,34.2,14.1,63,0,2.2
Hyderabad,Amberpet,13-Feb-23,0,21.2,34,17.3,51.1,0,2.1
Hyderabad,Amberpet,14-Feb-23,0,18.5,32.7,13.1,47,0,2.7
Hyderabad,Amberpet,15-Feb-23,0,19.6,32.9,10.3,63.3,0,2.3
Hyderabad,Amberpet,16-Feb-23,0,20.6,33.3,12,66.3,0,2.5
Hyderabad,Amberpet,17-Feb-23,0,22,33,12.5,52.4,0,2.3
Hyderabad,Amberpet,18-Feb-23,0,21,32.8,18.8,66.3,0,2
Hyderabad,Amberpet,19-Feb-23,0,20.7,32.9,23,87,0,1.8
Hyderabad,Amberpet,20-Feb-23,0,21.3,31.9,30.7,78.6,0,2.3
Hyderabad,Amberpet,21-Feb-23,0,22.2,32.7,26.8,67.9,0,2
Hyderabad,Amberpet,22-Feb-23,0,22.6,34.3,16,64.7,0,1.9
Hyderabad,Amberpet,23-Feb-23,0,22.8,34.7,17.7,55.9,0,2
Hyderabad,Amberpet,24-Feb-23,0,21.6,33.5,22.1,66,0,2.3
Hyderabad,Amberpet,25-Feb-23,0,22.1,33.7,16.8,60.7,0,1.8
Hyderabad,Amberpet,26-Feb-23,0,23,33.7,15,54.6,0,2.3
Hyderabad,Amberpet,27-Feb-23,0,21.5,32.8,16.9,51.1,0,2.8
Hyderabad,Amberpet,28-Feb-23,0,21.3,33.3,14.1,59.4,0,2.5
Hyderabad,Ameerpet,01-Feb-23,0,21.6,30.4,55.8,84.6,0,44.8
Hyderabad,Ameerpet,02-Feb-23,0,20.3,29.8,41.2,77.6,0,2.8
Hyderabad,Ameerpet,03-Feb-23,0,19.3,32.4,34.5,63.1,0,0.2
Hyderabad,Ameerpet,04-Feb-23,0,19.1,31.2,20.7,50.3,0,1.8
Hyderabad,Ameerpet,05-Feb-23,0,20,32.9,23,53.5,0,33.5
Hyderabad,Ameerpet,06-Feb-23,0,19.9,31.8,23.8,69.7,0,10.4
Hyderabad,Ameerpet,07-Feb-23,0,21,32.5,30.7,91,0.1,15.1
Hyderabad,Ameerpet,08-Feb-23,0,21.5,34,36.5,90.8,0,21
Hyderabad,Ameerpet,09-Feb-23,0,21.3,34.2,39.4,77.8,0,11.6
Hyderabad,Ameerpet,10-Feb-23,0,20,33.2,20.1,75.3,0,4.8
Hyderabad,Ameerpet,11-Feb-23,0,20.3,33.3,15.3,53.5,0,34.5
Hyderabad,Ameerpet,12-Feb-23,0,21.1,34.8,15.2,54.5,0,24.8
Hyderabad,Ameerpet,13-Feb-23,0,19.4,34.9,21.4,45.8,0,0.2
Hyderabad,Ameerpet,14-Feb-23,0,18.4,32,16,38.2,0,6.6
Hyderabad,Ameerpet,15-Feb-23,0,19.7,32.5,13.9,39.2,0,31
Hyderabad,Ameerpet,16-Feb-23,0,20.6,32.8,13.9,45.5,0,29.8
Hyderabad,Ameerpet,17-Feb-23,0,21,32.7,15.9,42.9,0,14.9
Hyderabad,Ameerpet,18-Feb-23,0,20.7,34.6,22.9,62.3,0,35.1
Hyderabad,Ameerpet,19-Feb-23,0,21,32.8,23.2,90.1,0,20.5
Hyderabad,Ameerpet,20-Feb-23,0,22.1,32.2,33.6,83.1,0,21.4
Hyderabad,Ameerpet,21-Feb-23,0,21.6,36.3,26.2,65.1,0,31.7
Hyderabad,Ameerpet,22-Feb-23,0,21.6,36.5,15.1,61.7,0,38.5
Hyderabad,Ameerpet,23-Feb-23,0,22.3,34.8,18.2,45.9,0,17.9
Hyderabad,Ameerpet,24-Feb-23,0,22,33.8,23,61.7,0,17.4
Hyderabad,Ameerpet,25-Feb-23,0,22,33.2,20.9,55.1,0,12.9
Hyderabad,Ameerpet,26-Feb-23,0,21.4,36.6,13.9,46.1,0,15.7
Hyderabad,Ameerpet,27-Feb-23,0,21.9,32.9,18.3,42.1,0,22.8
Hyderabad,Ameerpet,28-Feb-23,0,22.9,33.3,16.6,54,0,13.1
Hyderabad,Asifnagar,01-Feb-23,0,21.8,30.2,33.5,80.2,0,17
Hyderabad,Asifnagar,02-Feb-23,0,20,30,30.8,69.5,0,18.5
Hyderabad,Asifnagar,03-Feb-23,0,19.4,30.4,19.8,51,0,36.9
Hyderabad,Asifnagar,04-Feb-23,0,19.2,31.8,9.8,74.7,0,65.1
Hyderabad,Asifnagar,05-Feb-23,0,20,33,12.8,65.4,0,49.6
Hyderabad,Asifnagar,06-Feb-23,0,20.5,32.9,11.5,76.5,0,18.1
Hyderabad,Asifnagar,07-Feb-23,0,21.6,32.9,16.7,80.1,0,65.1
Hyderabad,Asifnagar,08-Feb-23,0,21.8,33,25.1,83.5,0,65.1
Hyderabad,Asifnagar,09-Feb-23,0,21.9,33,18.7,80.1,0,33.2
Hyderabad,Asifnagar,10-Feb-23,0,20,33.2,10.8,80.9,0,61.5
Hyderabad,Asifnagar,11-Feb-23,0,19.4,33.2,6.3,72,0,37
Hyderabad,Asifnagar,12-Feb-23,0,20.8,34.3,5.6,72.5,0,63.5
Hyderabad,Asifnagar,13-Feb-23,0,21.2,34.4,8.8,52.1,0,48.3
Hyderabad,Asifnagar,14-Feb-23,0,18.5,32.7,6.3,66.7,0,30.5
Hyderabad,Asifnagar,15-Feb-23,0,18.7,32.8,5.5,70.7,0,48.8
Hyderabad,Asifnagar,16-Feb-23,0,19.1,33.6,5.6,72.4,0,45.3
Hyderabad,Asifnagar,17-Feb-23,0,19.9,33.2,7.4,63.1,0,31.1
Hyderabad,Asifnagar,18-Feb-23,0,20.2,33.3,9.5,72.1,0,37.1
Hyderabad,Asifnagar,19-Feb-23,0,21.2,33,14.1,86.5,0,17.4
Hyderabad,Asifnagar,20-Feb-23,0,21.1,32.9,20.5,84.7,0,52.7
Hyderabad,Asifnagar,21-Feb-23,0,21.4,33.4,14.1,74.7,0,65.1
Hyderabad,Asifnagar,22-Feb-23,0,20.9,35.2,5.7,72.1,0,62.9
Hyderabad,Asifnagar,23-Feb-23,0,21.8,35.2,9,56.5,0,65.1
Hyderabad,Asifnagar,24-Feb-23,0,21.2,35,11.6,73.5,0,31.3
Hyderabad,Asifnagar,25-Feb-23,0,21.6,34.7,9,67.6,0,29.7
Hyderabad,Asifnagar,26-Feb-23,0,21.3,35.2,5.7,58.3,0,65.1
Hyderabad,Asifnagar,27-Feb-23,0,21.8,34.8,8.8,47.1,0,65.1
Hyderabad,Asifnagar,28-Feb-23,0,22,34.8,7.6,55.5,0,19.8
Hyderabad,Bahadurpura,01-Feb-23,0,20.4,31.8,24.6,82.8,0,13.6
Hyderabad,Bahadurpura,02-Feb-23,0,18.5,31.5,26.3,74.2,0,35.2
Hyderabad,Bahadurpura,03-Feb-23,0,16.7,31.8,19.2,60.9,0,3.4
Hyderabad,Bahadurpura,04-Feb-23,0,17,31.8,11.7,78,0,2.6
Hyderabad,Bahadurpura,05-Feb-23,0,17.1,34,16.2,75.2,0,1.5
Hyderabad,Bahadurpura,06-Feb-23,0,17.7,34.1,16.3,80.4,0,2.2
Hyderabad,Bahadurpura,07-Feb-23,0,19.7,34.2,21.2,80.1,0,3.4
Hyderabad,Bahadurpura,08-Feb-23,0,20.3,34.6,21.3,85.8,0,2.9
Hyderabad,Bahadurpura,09-Feb-23,0,19.5,34.2,18.9,80.6,0,1.9
Hyderabad,Bahadurpura,10-Feb-23,0,17.8,34.3,15.5,80.1,0,65.1
Hyderabad,Bahadurpura,11-Feb-23,0,17.2,34.2,9.8,65.9,0,5.8
Hyderabad,Bahadurpura,12-Feb-23,0,18.4,34.4,9.6,65.4,0,65.1
Hyderabad,Bahadurpura,13-Feb-23,0,19.1,34.3,11.9,55.4,0,2.1
Hyderabad,Bahadurpura,14-Feb-23,0,15.7,32.9,9.2,60.8,0,65.1
Hyderabad,Bahadurpura,15-Feb-23,0,15.9,32.9,7.1,62.7,0,4.5
Hyderabad,Bahadurpura,16-Feb-23,0,16.7,34.3,8.4,71.8,0,5
Hyderabad,Bahadurpura,17-Feb-23,0,18.2,33.9,9.5,69.8,0,65.1
Hyderabad,Bahadurpura,18-Feb-23,0,18.5,34,13.4,73,0,65.1
Hyderabad,Bahadurpura,19-Feb-23,0,19.7,34,17.5,87.3,0,3.5
Hyderabad,Bahadurpura,20-Feb-23,0,19.3,33.4,20.3,83.2,0,65.1
Hyderabad,Bahadurpura,21-Feb-23,0,19.8,34.1,18.6,76.2,0,65.1
Hyderabad,Bahadurpura,22-Feb-23,0,19.4,34.8,11,65.4,0,65.1
Hyderabad,Bahadurpura,23-Feb-23,0,19.6,34.9,13,55,0,4.3
Hyderabad,Bahadurpura,24-Feb-23,0,19.6,34.4,14.7,65.4,0,53
Hyderabad,Bahadurpura,25-Feb-23,0,18.8,35.9,11.2,74.6,0,3.7
Hyderabad,Bahadurpura,26-Feb-23,0,19.7,36.7,10.9,69.5,0,65.1
Hyderabad,Bahadurpura,27-Feb-23,0,19.7,34.8,12.2,63.1,0,65.1
Hyderabad,Bahadurpura,28-Feb-23,0,20.2,34.9,11.2,69.3,0,65.1
Hyderabad,Bandlaguda,01-Feb-23,0,20.5,30.2,39.9,75.7,0,5.2
Hyderabad,Bandlaguda,02-Feb-23,0,18.6,29.6,40.5,69.5,0,7.2
Hyderabad,Bandlaguda,03-Feb-23,0,16.9,30,28.9,54.6,0,6.7
Hyderabad,Bandlaguda,04-Feb-23,0,17.7,31.1,18.9,63.2,0,3
Hyderabad,Bandlaguda,05-Feb-23,0,18.6,32.1,23.9,65.9,0,2.8
Hyderabad,Bandlaguda,06-Feb-23,0,18.8,32.5,23,71.7,0,3.3
Hyderabad,Bandlaguda,07-Feb-23,0,19.9,31.7,29.5,78.8,0,2.4
Hyderabad,Bandlaguda,08-Feb-23,0,20.5,32.2,34.6,79.7,0,2.5
